SNo,Date,Price,Open,High,Low,Vol.,Change %
1,2017-06-03,0.003213,0.002803,0.0033979999999999995,0.0026550000000000002,4370000.0,14.63
2,2017-06-04,0.0037700000000000003,0.003213,0.0037700000000000003,0.0025440000000000003,5960000.0,17.34
3,2017-06-05,0.003718,0.0037700000000000003,0.003825,0.0029230000000000003,4820000.0,-1.38
4,2017-06-06,0.003617,0.003718,0.003718,0.003152,2110000.0,-2.72
5,2017-06-07,0.00325,0.003617,0.00395,0.0031320000000000002,1370000.0,-10.15
6,2017-06-08,0.003431,0.00325,0.003511,0.003055,1540000.0,5.57
7,2017-06-09,0.003426,0.003431,0.003752,0.00329,3430000.0,-0.15
8,2017-06-10,0.003278,0.003426,0.0035909999999999996,0.00313,2240000.0,-4.32
9,2017-06-11,0.003454,0.003278,0.003563,0.003195,2440000.0,5.37
10,2017-06-12,0.00299,0.003454,0.003479,0.002464,2420000.0,-13.43
11,2017-06-13,0.003187,0.00299,0.003408,0.0028,2290000.0,6.59
12,2017-06-14,0.0028239999999999997,0.003187,0.0033840000000000003,0.002604,3640000.0,-11.39
13,2017-06-15,0.002936,0.0028239999999999997,0.003083,0.0023,4350000.0,3.97
14,2017-06-16,0.003058,0.002936,0.0032,0.002634,7400000.0,4.16
15,2017-06-17,0.003246,0.003058,0.003355,0.00293,5560000.0,6.15
16,2017-06-18,0.002994,0.003246,0.0032939999999999996,0.002867,6070000.0,-7.76
17,2017-06-19,0.003168,0.002994,0.0033159999999999995,0.002928,5950000.0,5.81
18,2017-06-20,0.003104,0.003168,0.003235,0.003035,4150000.0000000005,-2.02
19,2017-06-21,0.002963,0.003104,0.003235,0.002822,4090000.0,-4.54
20,2017-06-22,0.002987,0.002963,0.003179,0.002849,9050000.0,0.81
21,2017-06-23,0.003074,0.002987,0.00322,0.002918,3570000.0,2.91
22,2017-06-24,0.0029,0.003074,0.003187,0.002689,3960000.0,-5.66
23,2017-06-25,0.002573,0.0029,0.0032649999999999997,0.002254,2350000.0,-11.28
24,2017-06-26,0.002516,0.002573,0.002886,0.0021969999999999997,1620000.0,-2.22
25,2017-06-27,0.002534,0.002516,0.002652,0.002065,2960000.0,0.72
26,2017-06-28,0.0028,0.002534,0.002832,0.002395,4490000.0,10.50
27,2017-06-29,0.002534,0.0028,0.00282,0.002418,7950000.0,-9.50
28,2017-06-30,0.002555,0.002534,0.0027949999999999997,0.002431,9930000.0,0.83
29,2017-07-01,0.002239,0.002555,0.00256,0.002071,10450000.0,-12.37
30,2017-07-02,0.00246,0.002239,0.002545,0.00213,8130000.000000001,9.87
31,2017-07-03,0.002502,0.00246,0.002552,0.002165,8890000.0,1.71
32,2017-07-04,0.002525,0.002502,0.002682,0.002435,13040000.0,0.92
33,2017-07-05,0.00265,0.002525,0.0027199999999999998,0.002369,11650000.0,4.95
34,2017-07-06,0.002688,0.00265,0.002764,0.0025670000000000003,13180000.0,1.43
35,2017-07-07,0.002382,0.002688,0.002688,0.002359,8289999.999999999,-11.38
36,2017-07-08,0.0023510000000000002,0.002382,0.002487,0.002166,5230000.0,-1.30
37,2017-07-09,0.002284,0.0023510000000000002,0.002459,0.002264,6930000.0,-2.85
38,2017-07-10,0.00218,0.002284,0.002333,0.002169,5870000.0,-4.55
39,2017-07-11,0.00218,0.00218,0.00218,0.00218,0.0,0.00
40,2017-07-12,0.001848,0.0021969999999999997,0.0021969999999999997,0.0017399999999999998,8910000.0,-15.23
41,2017-07-13,0.0017829999999999999,0.001848,0.0020510000000000003,0.001719,10590000.0,-3.52
42,2017-07-14,0.001661,0.0017829999999999999,0.001836,0.001545,14950000.0,-6.84
43,2017-07-15,0.001466,0.001661,0.001661,0.001446,10310000.0,-11.74
44,2017-07-16,0.0013050000000000002,0.001466,0.00158,0.001251,19140000.0,-10.98
45,2017-07-17,0.0015630000000000002,0.0013050000000000002,0.001564,0.0012929999999999999,9720000.0,19.77
46,2017-07-18,0.001802,0.0015630000000000002,0.002133,0.00143,4210000.0,15.29
47,2017-07-19,0.001637,0.001802,0.002006,0.0015890000000000001,3010000.0,-9.16
48,2017-07-20,0.001872,0.001637,0.001996,0.001628,5190000.0,14.36
49,2017-07-21,0.0019489999999999998,0.001872,0.0019690000000000003,0.001854,1320000.0,4.11
50,2017-07-22,0.002093,0.0019489999999999998,0.002112,0.0019489999999999998,1050000.0,7.39
51,2017-07-23,0.002007,0.002093,0.002225,0.0019649999999999997,2390000.0,-4.11
52,2017-07-24,0.002025,0.002007,0.002048,0.0019489999999999998,2800000.0,0.90
53,2017-07-25,0.001759,0.002025,0.002037,0.0016809999999999998,7030000.0,-13.14
54,2017-07-26,0.0017829999999999999,0.001759,0.0018679999999999999,0.00165,1320000.0,1.36
55,2017-07-27,0.001842,0.0017829999999999999,0.001941,0.001744,6800000.0,3.31
56,2017-07-28,0.0017670000000000001,0.001842,0.001852,0.0016719999999999999,6630000.0,-4.07
57,2017-07-29,0.001744,0.0017670000000000001,0.0018449999999999999,0.001599,5300000.0,-1.30
58,2017-07-30,0.001686,0.001744,0.001778,0.00168,4320000.0,-3.33
59,2017-07-31,0.001674,0.001686,0.001819,0.001592,5940000.0,-0.71
60,2017-08-01,0.0017809999999999998,0.001674,0.001853,0.001607,7040000.0,6.39
61,2017-08-02,0.001846,0.0017809999999999998,0.0021079999999999996,0.0016760000000000002,7600000.0,3.65
62,2017-08-03,0.0017629999999999998,0.001846,0.0019010000000000001,0.0015,5880000.0,-4.50
63,2017-08-04,0.001819,0.0017629999999999998,0.001837,0.0016760000000000002,5850000.0,3.18
64,2017-08-05,0.002068,0.001819,0.002129,0.00176,7380000.0,13.69
65,2017-08-06,0.001936,0.002068,0.0021609999999999997,0.0019309999999999998,4690000.0,-6.38
66,2017-08-07,0.001948,0.001936,0.002061,0.00187,7770000.0,0.62
67,2017-08-08,0.0019649999999999997,0.001948,0.00202,0.001893,8210000.000000001,0.87
